global_sent_idx,word_idx,beta,lossy_surprisal
9,8,0.7,21.733975257386778
9,9,0.7,18.031467625515106
9,10,0.7,11.397746786293155
9,11,0.7,5.8606399642780165
9,12,0.7,17.643194813481593
9,0,0.9,
9,1,0.9,13.677342974427615
9,2,0.9,67.97113223203398
9,3,0.9,5.5159723603468
9,4,0.9,22.73450697617323
9,5,0.9,7.717578409178855
9,6,0.9,15.024181572411116
9,7,0.9,2.720898424204301
9,8,0.9,21.695738271065544
9,9,0.9,15.016599581381538
9,10,0.9,9.072173534785163
9,11,0.9,4.914440973580023
9,12,0.9,13.011212384450932
9,0,1.0,
9,1,1.0,13.986528981392912
9,2,1.0,68.66680994491688
9,3,1.0,4.606603458502571
9,4,1.0,15.999011487688206
9,5,1.0,6.094538879666297
9,6,1.0,14.1315777732694
9,7,1.0,1.7539463187154098
9,8,1.0,21.823012370484157
9,9,1.0,14.077520874380804
9,10,1.0,6.777919510106306
9,11,1.0,5.182966164616688
9,12,1.0,10.001026419938704
10,0,0.1,
10,1,0.1,3.5671791847668506
10,2,0.1,20.096131477482988
10,3,0.1,8.309045966277115
10,4,0.1,6.496654955301649
10,5,0.1,21.851875874813164
10,6,0.1,14.613307534814902
10,7,0.1,11.618606174458359
10,8,0.1,4.9436794300620255
10,9,0.1,5.390233464061113
10,10,0.1,5.616559946227563
10,11,0.1,12.513161013584524
10,12,0.1,4.336939620782786
10,13,0.1,6.496654955301648
10,14,0.1,14.519402778548653
10,15,0.1,18.727504587771225
10,0,0.3,
10,1,0.3,3.5671791847668506
10,2,0.3,19.74047649687478
10,3,0.3,8.087986716588267
10,4,0.3,6.751771915333222
10,5,0.3,21.951370571956275
10,6,0.3,14.719612873104516
10,7,0.3,13.127348208068202
10,8,0.3,5.306851642856761
10,9,0.3,7.03101044032212
10,10,0.3,9.346162848536148
10,11,0.3,13.50749345877999
10,12,0.3,5.351405212527371
10,13,0.3,7.642196580543904
10,14,0.3,14.475625076322947
10,15,0.3,19.679304546917585
10,0,0.5,
10,1,0.5,3.567179184766851
10,2,0.5,19.473823016536066
