subject,beta,measure,measure_type,n_obs,delta_aic,lossy_est,lossy_se
ZKB,0.5,GPT,late,2236,-1.965563359513908,-0.006693412061648186,0.036070694121409924
ZKB,0.5,TRT,late,2236,-1.542512459691352,-0.020004809278335225,0.02955717800927405
ZKB,0.5,reg,late,4218,0.4587464749929495,-0.1650334896851557,0.10567433195607862
ZKB,0.7,FFD,early,2236,0.057186301208275836,-0.029897102319634446,0.02080798293025216
ZKB,0.7,GD,early,2236,1.0785062207942246,-0.05102548001776706,0.029010149644427267
ZKB,0.7,GPT,late,2236,1.4175851039908594,0.08570986153293128,0.046505308639300955
ZKB,0.7,TRT,late,2236,-1.5406418826205481,0.025754583856560535,0.038024630774789236
ZKB,0.7,reg,late,4218,5.522578999492907,-0.3797283956486993,0.1401903018025094
ZKB,0.9,FFD,early,2236,-1.5316368281055475,-0.02481244630643041,0.03624039217377953
ZKB,0.9,GD,early,2236,-1.0308330047337222,-0.050120058094612674,0.05086716106901707
ZKB,0.9,GPT,late,2236,1.4883652329845063,0.15033620863672287,0.0807266526103081
ZKB,0.9,TRT,late,2236,-1.994098178070999,-0.005076190570212511,0.06607349346564353
ZKB,0.9,reg,late,4218,12.551191763782299,-0.9323820978970843,0.25001713313258844
ZKH,0.1,FFD,early,2148,-1.9654133934709535,-0.0022209776843195523,0.012594943468172557
ZKH,0.1,GD,early,2148,1.753584723071981,-0.033214571809640256,0.017163459762795413
ZKH,0.1,GPT,late,2148,9.781936638184561,-0.07228634090047287,0.021089839750435248
ZKH,0.1,TRT,late,2148,11.198566333561757,-0.06700071303109834,0.018464610665266685
ZKH,0.1,reg,late,4206,1.1391568214698964,-0.18272264561721221,0.10248686450465878
ZKH,0.3,FFD,early,2155,-2.2208603838953422,-9.557825451962144e-4,0.014786682314287343
ZKH,0.3,GD,early,2155,2.0255154236328963,-0.04023323841845454,0.020051766792107493
ZKH,0.3,GPT,late,2155,6.1894282020948594,-0.07051683197573723,0.024609191680201897
ZKH,0.3,TRT,late,2155,9.034813500697055,-0.07189982315077356,0.02160164616141754
ZKH,0.3,reg,late,4218,1.2985038932683892,-0.2214931896062175,0.12195582789644126
ZKH,0.5,FFD,early,2155,-2.285685705512151,0.005531650644660258,0.018314660876516013
ZKH,0.5,GD,early,2155,2.611807625653455,-0.05282364353775198,0.024644135293657252
ZKH,0.5,GPT,late,2155,4.3993147207766015,-0.0767380636588061,0.030212575330303262
ZKH,0.5,TRT,late,2155,9.043648034028593,-0.08868876837740663,0.02655133465015361
ZKH,0.5,reg,late,4218,3.1316665882573034,-0.3512643533090618,0.15667118727249862
ZKH,0.7,FFD,early,2155,-1.584290524089738,0.016131390841736468,0.022867981632849893
ZKH,0.7,GD,early,2155,-0.7783429790797527,-0.0340823244110077,0.030820058808795445
ZKH,0.7,GPT,late,2155,-0.5176911664602812,-0.04637447708223436,0.037995698601287445
ZKH,0.7,TRT,late,2155,1.1369928625535977,-0.059433301625340135,0.03343879536302918
ZKH,0.7,reg,late,4218,2.427469778629529,-0.43119135280808313,0.20813051023744458
ZKH,0.9,FFD,early,2155,-2.242410261002078,0.0033284414653005135,0.037690262695062614
ZKH,0.9,GD,early,2155,-0.7676369115979469,-0.05558631755343048,0.04998820492083683
ZKH,0.9,GPT,late,2155,-1.985152112061769,-0.007494939144548513,0.06162404447310635
ZKH,0.9,TRT,late,2155,-0.8394503814124619,-0.05872143905950985,0.05435438825362427
ZKH,0.9,reg,late,4218,0.27351924111189874,-0.5477717800475821,0.36898360095539684
ZKW,0.1,FFD,early,2342,-0.6498368978391227,-0.014628656607579593,0.012596206749772
ZKW,0.1,GD,early,2342,2.1468144216487417,-0.03434168927557403,0.01688989113116958
ZKW,0.1,GPT,late,2342,-1.987101309830905,-0.0023978166215300484,0.02107642840419917
ZKW,0.1,TRT,late,2342,4.236549279743485,-0.0482731992545314,0.0193612313703372
ZKW,0.1,reg,late,4206,-0.06903334454545984,-0.11989385098904853,0.08600313966170665
ZKW,0.3,FFD,early,2350,-1.1061772455032042,-0.013971610632732157,0.014775671335290532
ZKW,0.3,GD,early,2350,0.15587220442830585,-0.029070225494189646,0.019794974155338596
ZKW,0.3,GPT,late,2350,-1.9343922237057996,0.006313035001733771,0.024829581672335926
ZKW,0.3,TRT,late,2350,1.957147569522931,-0.04518419070338019,0.022703312955423913
ZKW,0.3,reg,late,4218,1.5705313209155065,-0.19164445759004253,0.10145809334316266
ZKW,0.5,FFD,early,2350,-1.9973930548840144,-9.42059196057387e-4,0.018510238425253803
ZKW,0.5,GD,early,2350,-0.8970742341261939,-0.026008672011892504,0.024725096556653423
ZKW,0.5,GPT,late,2350,-1.443058732595091,0.023124853460742303,0.03100661496009585
ZKW,0.5,TRT,late,2350,0.7553455843408301,-0.04697849886532327,0.0282461865916591
ZKW,0.5,reg,late,4218,5.121724138803074,-0.34396578209644657,0.1301373053178295
ZKW,0.7,FFD,early,2350,-1.995715051998559,0.00151808717048321,0.02322916948985136
ZKW,0.7,GD,early,2350,-1.9702313306261203,-0.005373274273826497,0.0310651181874595
ZKW,0.7,GPT,late,2350,-1.6255823183128086,0.023872350935024957,0.03903657774539822
ZKW,0.7,TRT,late,2350,-1.2859138831881864,-0.03004444376307941,0.03550971545320358
ZKW,0.7,reg,late,4218,5.925753738722051,-0.47844243837433303,0.17243311671511458
ZKW,0.9,FFD,early,2350,-1.9889671224082122,0.004084012648258385,0.038872790700049856
ZKW,0.9,GD,early,2350,-1.3343970931709919,0.04239100524851094,0.052037554321130254
ZKW,0.9,GPT,late,2350,-0.19568245090340497,0.08712928238156671,0.06502243909868458
ZKW,0.9,TRT,late,2350,-1.9535857805713022,-0.012851858396605428,0.05960993984017648
ZKW,0.9,reg,late,4218,5.285254218680166,-0.8152775718950096,0.3076970122084266
ZMG,0.1,FFD,early,1961,-1.9724281342423637,-0.0019142746924785724,0.011530240156110686
ZMG,0.1,GD,early,1961,-1.156327747998148,-0.013115346729342954,0.014273890417221016
ZMG,0.1,GPT,late,1961,-1.952665710436122,0.004797563514104865,0.022033440435386964
ZMG,0.1,TRT,late,1961,-1.7227364146565378,0.00947075327976812,0.01797620070134426
ZMG,0.1,reg,late,4206,-1.9957422838615457,0.006045891210975646,0.09262927809030044
ZMG,0.3,FFD,early,1964,-1.584375009409996,-0.008733044313635146,0.013544047507197251
ZMG,0.3,GD,early,1964,-1.056135628696211,-0.016309352356791335,0.0167589486657269
ZMG,0.3,GPT,late,1964,-1.5550594055348483,0.017338178323183566,0.025992477215300215
ZMG,0.3,TRT,late,1964,-1.9158964925918553,0.006148331881169549,0.021174389875092518
ZMG,0.3,reg,late,4218,-1.9648988196686332,-0.020393728538238363,0.10881087254429528
ZMG,0.5,FFD,early,1964,-0.9418279677011014,-0.01737351099047667,0.01687150193663865
ZMG,0.5,GD,early,1964,-0.5689626566163497,-0.025004629980709486,0.02087126105121515
ZMG,0.5,GPT,late,1964,-1.7741469031861925,0.015477525395065217,0.03258551996254042
ZMG,0.5,TRT,late,1964,-1.9618739894031023,-0.005193994297175063,0.026464170118208796
ZMG,0.5,reg,late,4218,-1.6792391078615765,-0.07786866099157796,0.1375721649668411
ZMG,0.7,FFD,early,1964,-1.1535516701769666,-0.019650995976968476,0.021325675854447265
ZMG,0.7,GD,early,1964,-1.5180260755842028,-0.01840498935150653,0.02648615098866009
